Category,Feature,Raw_Importance,Pct_of_Total
Religion,ideol_score,0.1271153422970036,12.711534229700373
Complexity,Religious levels,0.12308939678115635,12.308939678115644
Complexity,Military levels,0.11777666132205464,11.777666132205473
Complexity,Administrative levels,0.10699205471977104,10.699205471977113
Complexity,Settlement hierarchy,0.08854501089638166,8.854501089638173
Religion,total_rel,0.0724185308050156,7.241853080501566
Warfare,total_warfare_tech,0.0552897342956867,5.528973429568674
Religion,moral_score,0.0517509226974974,5.175092269749744
Warfare,weapons_count,0.0476328393259967,4.763283932599673
Warfare,advanced_tech_count,0.0473999466611822,4.739994666118223
Warfare,material_count,0.0446450737932117,4.464507379321173
Warfare,fortification_count,0.0434485222533776,4.344852225337763
Warfare,cavalry_count,0.0265074880805801,2.650748808058012
Warfare,armor_count,0.0256095338155495,2.560953381554952
Religion,legit_score,0.0217789422555345,2.1778942255534517
