Region,N,Coefficient,R²,Correlation,P-value
Middle East,102,-106.8490718813455,0.2289360009842949,-0.478472570775269,3.649100067215387e-07
Other,46,-7.7538218940466965,0.012021433175523732,-0.10964229647140693,0.46823345986495596
East Asia,43,-104.25866328452656,0.28627929103417693,-0.5350507368784543,0.0002184952165606886
Europe,30,-31.40787929803465,0.08005127003762169,-0.28293333143626237,0.12977485838739122
New World,14,-14.772650958149844,0.04131378011883746,-0.2032579152673716,0.4858372278502259
South Asia,12,-53.76158655270692,0.09801794335303216,-0.31307817450763303,0.3217507977707045
