Era,N,Coefficient,R²,Correlation,P-value
Ancient (pre-500 BCE),77,-158.54887980577672,0.21206537863235175,-0.46050556851394536,2.5071446031643275e-05
Classical (500 BCE-500 CE),44,-20.050181911566014,0.06949996428610272,-0.2636284587940059,0.08379003352469808
Medieval (500-1500 CE),92,-11.076110478636767,0.02665011878604917,-0.1632486409929635,0.11997764747517921
Early Modern (1500+ CE),43,6.283325985726138,0.03516037658510107,0.1875110039040403,0.2285607073606005
