Feature,Importance
PC1_hier,0.19111125021166395
PC3_hier,0.1375138117701407
PC2_hier,0.13246753365151098
total_rel,0.12877676355842074
total_warfare_tech,0.1260104334830709
atrocity_score,0.11161783699449362
external_score,0.09100420006623736
internal_score,0.08149817026446185
