era,n,baseline_r2,religion_r2,improvement
Ancient (pre-500 BCE),77,0.21606010936491837,0.22990148099407037,0.013841371629152
Classical (500 BCE-500 CE),44,0.07482004254051833,0.16037022690540959,0.08555018436489126
Medieval (500-1500 CE),92,0.026690223134837265,0.11337685912641093,0.08668663599157367
Early Modern (1500+ CE),43,0.0781487677789765,0.11828172740004672,0.04013295962107022
