PolityKey,PC1_hier,start_year,end_year,duration_years,NGA,duration_quartile
Niger Inland Delta | MrWagdM,-0.5205216554677204,700.0,1077.0,377.0,,Q4 (Long)
North Colombia | CoTairo,-1.418251721382327,900.0,1525.0,625.0,,Q4 (Long)
Orkhon Valley | CnTangE,1.1404148982195603,617.0,763.0,146.0,,Q2
Orkhon Valley | MnKhit2,0.16922260094371644,908.0,1100.0,192.0,,Q3
Orkhon Valley | MnKhitn,0.16922260094371644,908.0,1100.0,192.0,,Q3
Orkhon Valley | MnMngKh,0.7678564823736231,1206.0,1368.0,162.0,,Q2
Orkhon Valley | MnMongE,-1.7575861462252982,1000.0,1206.0,206.0,,Q3
Orkhon Valley | MnMongL,-1.1589522647953916,1368.0,1690.0,322.0,,Q4 (Long)
Orkhon Valley | MnRourn,-1.447194913371609,300.0,555.0,255.0,,Q3
Orkhon Valley | MnXianb,-0.5901446002757821,100.0,250.0,150.0,,Q2
Orkhon Valley | MnXngnE,-2.217415650499589,-1400.0,-300.0,1100.0,,Q4 (Long)
Oro PNG | PgOrokL,-1.9581161939126541,1884.0,1942.0,58.0,,Q1 (Short)
Paris Basin | FrBurbL,3.7244072940745663,1650.0,1720.0,70.0,,Q1 (Short)
Paris Basin | FrCaptE,0.9765056751543123,987.0,1150.0,163.0,,Q3
Paris Basin | FrCaptL,1.545754852134429,1150.0,1328.0,178.0,,Q3
Paris Basin | FrCarlL,0.44749473853246713,840.0,987.0,147.0,,Q2
Paris Basin | FrMervE,0.4872914664302313,487.0,560.0,73.0,,Q1 (Short)
Paris Basin | FrMervM,0.4872914664302313,534.0,687.0,153.0,,Q2
Paris Basin | FrTeneA,-1.0897708324478375,-475.0,-325.0,150.0,,Q2
Paris Basin | FrValoE,1.545754852134429,1284.0,1450.0,166.0,,Q3
Sogdiana | AfHepht,-1.1480987288869096,408.0,670.0,262.0,,Q3
Sogdiana | GrMaced,0.23840403329127036,-359.0,-294.0,65.0,,Q1 (Short)
Sogdiana | IrAchae,1.4978389791433318,-550.0,-330.0,220.0,,Q3
Sogdiana | IrIlkhn,0.9688280425214867,1256.0,1335.0,79.0,,Q1 (Short)
Sogdiana | IrSasn2,2.056234620214967,488.0,642.0,154.0,,Q2
Sogdiana | IrSeljq,0.6986750500260692,1037.0,1157.0,120.0,,Q2
Sogdiana | MnMngKh,0.7678564823736231,1206.0,1368.0,162.0,,Q2
