PolityKey,PolityName,Administrative levels,Military levels,Religious levels,Settlement hierarchy,start_year,end_year,duration_years,PC1_hier,PC2_hier,PC3_hier,PC1_squared,PC1_x_PC2,collapsed
0,AfDurrn,5.0,4.0,1.0,3.0,1747.0,1826.0,79.0,-0.43377666464703046,-0.8029377577440994,-0.08085201069709226,0.18816219479230234,0.34829566247340077,1
1,AfGhurd,5.0,3.0,1.0,2.0,1025.0,1215.0,190.0,-0.9482263244264596,-0.5121922688123309,-0.15570741303330066,0.8991331623353134,0.4856741924555657,0
2,AfGrBct,5.0,5.0,1.0,3.0,-256.0,-125.0,131.0,-0.22031467688560774,-0.8828603300893828,0.2636764102999784,0.048538556851209745,0.19450708835876337,1
3,AfHepht,4.0,4.0,1.0,2.0,408.0,561.0,153.0,-0.9995007732165787,-0.4821094938240048,0.34232927707467714,0.9990017956605387,0.4818688118521462,1
4,AfKidar,3.0,4.0,1.0,4.0,388.0,477.0,89.0,-0.6622618657321077,-0.7937499796633647,-0.04350849113614025,0.4385907788029722,0.5256703424566824,1
5,AfKushn,4.0,4.0,2.0,4.0,35.0,319.0,284.0,-0.14743628537799489,-0.40731459251201013,-0.24116977862452157,0.021737458246061547,0.06005295050022243,0
6,AfTochr,3.0,3.0,1.0,2.0,-129.0,29.0,158.0,-1.477699197529543,-0.2921815741451115,0.1513091251885136,2.1835949183794554,0.4317564776471499,1
7,CnEHan*,7.0,7.0,1.0,6.0,25.0,220.0,195.0,1.6390451877943406,-1.895184919206624,-0.16330234191028142,2.6864691276317854,-3.106293721806023,0
8,CnErJin,9.0,6.0,1.0,6.0,265.0,317.0,52.0,1.9550560731360014,-2.03527304152856,-0.8148473011291663,3.822244249105962,-3.979072920330392,1
9,CnErlig,3.0,3.0,2.0,3.0,-1650.0,-1250.0,400.0,-0.9266223817089658,-0.0065637562466320685,-0.16251691184982286,0.8586290382839964,0.006082123446211309,0
10,CnErlit,3.0,3.0,1.0,4.0,-1850.0,-1600.0,250.0,-0.8757238534935303,-0.7138274073180811,-0.38803691213321095,0.7668922675775581,0.6251156878658859,0
11,CnHChin,2.0,2.0,1.0,1.0,1895.0,1941.0,46.0,-2.2568852938605137,0.10856926212026663,0.22996199196321218,5.093531229643857,-0.2450283710445171,1
12,CnMing*,5.0,7.0,3.0,7.0,1368.0,1644.0,276.0,1.9107382743144052,-0.8931156721559604,-0.21426485910427767,3.6509207529299914,-1.70651029817843,0
13,CnNSong,7.0,8.0,2.0,7.0,960.0,1127.0,167.0,2.403583991376341,-1.689489673653428,-0.1325999579515472,5.777216003600621,-4.060830333189018,1
14,CnNWei*,6.0,5.0,2.0,5.0,386.0,534.0,148.0,0.8964862475045178,-0.918070776110998,-0.47333091451012743,0.8036875919647315,-0.8230378250193089,1
15,CnQingE,7.0,10.0,3.0,7.0,1644.0,1796.0,152.0,3.0805971107017567,-1.3528940838590309,0.5123038656651199,9.490078558464011,-4.16772160582163,1
16,CnQingL,7.0,8.0,3.0,7.0,1796.0,1912.0,116.0,2.6536731351789116,-1.1930489391684638,-0.1767529763290214,7.0419811083702735,-3.165961918825052,1
17,CnShang,4.0,4.0,3.0,3.0,-1250.0,-1045.0,205.0,-0.19833481359343028,0.29994905855943904,-0.015649778341133555,0.039336698283140736,-0.05949034061691125,0
18,CnSui**,5.0,6.0,3.0,3.0,581.0,618.0,37.0,0.49332559848095686,0.03009856653526225,0.5198987945421005,0.24337014611659427,0.01484839334942715,1
19,CnTangE,7.0,8.0,3.0,6.0,617.0,763.0,146.0,2.352685463160905,-0.9822260225819787,0.09292004233184083,5.535128888568641,-2.310868884866976,1
20,CnTangL,7.0,5.0,3.0,3.0,763.0,907.0,144.0,0.8093364838226178,-0.10998955578667367,-0.13164616467678433,0.6550255440463585,-0.08901856033759814,1
21,CnWHan*,7.0,7.0,3.0,6.0,-202.0,9.0,211.0,2.1392234753994823,-0.9023034502366952,-0.25160837866522984,4.576277077700239,-1.930228722680287,0
22,CnWZhou,4.0,5.0,2.0,5.0,-1122.0,-771.0,351.0,0.3670133744014341,-0.6980600814437785,-0.1663143762883131,0.13469881698952726,-0.2561973860256211,0
23,CnYuan*,8.0,6.0,3.0,7.0,1271.0,1368.0,97.0,2.4914855962076077,-1.1432091418115062,-1.0193180874340697,6.207500476109979,-2.848289110276228,1
24,CoTairo,1.0,1.0,1.0,1.0,1050.0,1524.0,474.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
25,EcJivaE,1.0,3.0,2.0,1.0,1534.0,1830.0,296.0,-2.058070598848062,0.6350927715935571,0.6838456636937157,4.235654589842821,-1.3070657607576277,0
26,EcJivaL,1.0,3.0,1.0,1.0,1831.0,1931.0,100.0,-2.3081597426506333,0.13865203710859283,0.7279986820711899,5.327601397593038,-0.3200310502905557,1
27,EgAyyub,5.0,7.0,4.0,5.0,1171.0,1250.0,79.0,1.5588520740809633,0.024970895501973376,0.2809281598399726,2.430019788866521,0.03892593224491019,1
28,EgBadar,1.0,1.0,1.0,1.0,-4400.0,-3800.0,600.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
29,EgDyn1*,4.0,3.0,3.0,4.0,-3100.0,-2900.0,200.0,-0.11080912933684664,0.16904871431823773,-0.6298512179990665,0.012278663144390007,-0.018732140849117243,0
30,EgDyn2*,4.0,3.0,3.0,4.0,-2900.0,-2687.0,213.0,-0.11080912933684664,0.16904871431823773,-0.6298512179990665,0.012278663144390007,-0.018732140849117243,0
31,EgIntOc,5.0,5.0,2.0,4.0,-404.0,-342.0,62.0,0.33076213893496953,-0.5972425121909034,-0.05014962673835807,0.10940359255283609,-0.19754521079515783,1
32,EgMamBh,7.0,9.0,3.0,6.0,1260.0,1348.0,88.0,2.5661474509223274,-1.0621485949272624,0.43744846332891146,6.585112739875159,-2.725629909373326,1
33,EgMamBu,7.0,7.0,3.0,6.0,1412.0,1517.0,105.0,2.1392234753994823,-0.9023034502366952,-0.25160837866522984,4.576277077700239,-1.930228722680287,1
34,EgMamCP,7.0,9.0,3.0,6.0,1348.0,1412.0,64.0,2.5661474509223274,-1.0621485949272624,0.43744846332891146,6.585112739875159,-2.725629909373326,1
35,EgMidKg,5.0,3.0,4.0,4.0,-2016.0,-1700.0,316.0,0.40401645101726613,0.5554841014695924,-0.8275125054874478,0.163229292692587,0.22442471527225966,0
36,EgNKRam,5.0,7.0,5.0,4.0,-1293.0,-1070.0,223.0,1.5079535458655278,0.7322345465734226,0.5064481601233606,2.2739238964884185,1.1041756809106296,0
37,EgNKThu,5.0,7.0,5.0,5.0,-1550.0,-1293.0,257.0,1.8089412178835342,0.5214116299869377,0.23677514146249842,3.272268329757964,0.9432029889672098,0
38,EgNaqa1,1.0,1.0,1.0,1.0,-3800.0,-3550.0,250.0,-2.735083718173479,0.29849718179915996,0.03894184007704863,7.480682945417662,-0.8164147818595513,0
39,EgNaqa3,2.0,2.0,2.0,2.0,-3300.0,-3100.0,200.0,-1.7058084780399365,0.394187080018746,-0.08386404507512413,2.9097825637529247,-0.6724076630297838,0
40,EgOldK1,7.0,3.0,6.0,4.0,-2650.0,-2350.0,300.0,1.4336676117254916,1.3283548757723016,-1.2228350804642105,2.055402820910675,1.9044193622723877,0
41,EgOldK2,7.0,3.0,6.0,4.0,-2350.0,-2150.0,200.0,1.4336676117254916,1.3283548757723016,-1.2228350804642105,2.055402820910675,1.9044193622723877,0
42,EgPtol1,6.0,9.0,1.0,6.0,-305.0,-217.0,88.0,1.801232726765644,-1.9450247165635812,0.679262769194767,3.2444393359715975,-3.5034421738423935,1
43,EgPtol2,6.0,7.0,1.0,6.0,-217.0,-30.0,187.0,1.3743087512427987,-1.7851795718730141,-0.009794072799374203,1.8887245437425408,-2.453387908164956,0
