era,n_total,n_low,n_high,low_religion_corr,high_religion_corr,moderation
Ancient (pre-500 BCE),77,40,37,-0.3406687802111206,-0.4273516601683656,-0.086682879957245
Classical (500 BCE-500 CE),44,30,14,-0.3158601480495813,0.11165631983242993,0.42751646788201125
Medieval (500-1500 CE),92,49,43,-0.10324593464181121,-0.013565979257369591,0.08967995538444162
Early Modern (1500+ CE),43,25,18,0.17172883296196037,0.2762873935475893,0.10455856058562893
