PolityKey,PolityName,Administrative levels,Military levels,Religious levels,Settlement hierarchy,start_year,end_year,duration_years,PC1_hier,PC2_hier,PC3_hier,PC1_squared,PC1_x_PC2,collapsed,era,NGA,region,predicted_duration,residual,abs_residual
0,AfDurrn,5.0,4.0,1.0,3.0,1747.0,1826.0,79.0,-0.4337766646470304,-0.8029377577440994,-0.0808520106970922,0.1881621947923023,0.3482956624734007,1,Early Modern (1500+ CE),Kachi Plain,East Asia,284.9804806647651,-205.98048066476508,205.98048066476508
1,AfGhurd,5.0,3.0,1.0,2.0,1025.0,1215.0,190.0,-0.9482263244264596,-0.5121922688123309,-0.1557074130333006,0.8991331623353134,0.4856741924555657,0,Medieval (500-1500 CE),Kachi Plain,East Asia,319.2858402317033,-129.28584023170328,129.28584023170328
2,AfGrBct,5.0,5.0,1.0,3.0,-256.0,-125.0,131.0,-0.2203146768856077,-0.8828603300893828,0.2636764102999784,0.0485385568512097,0.1945070883587633,1,Classical (500 BCE-500 CE),Sogdiana,Other,270.7460651008231,-139.7460651008231,139.7460651008231
3,AfHepht,4.0,4.0,1.0,2.0,408.0,561.0,153.0,-0.9995007732165788,-0.4821094938240048,0.3423292770746771,0.9990017956605388,0.4818688118521462,1,Classical (500 BCE-500 CE),Sogdiana,Other,322.70500548704774,-169.70500548704774,169.70500548704774
4,AfKidar,3.0,4.0,1.0,4.0,388.0,477.0,89.0,-0.6622618657321077,-0.7937499796633647,-0.0435084911361402,0.4385907788029722,0.5256703424566824,1,Classical (500 BCE-500 CE),Sogdiana,Other,300.21669830034176,-211.21669830034176,211.21669830034176
5,AfKushn,4.0,4.0,2.0,4.0,35.0,319.0,284.0,-0.1474362853779948,-0.4073145925120101,-0.2411697786245215,0.0217374582460615,0.0600529505002224,0,Classical (500 BCE-500 CE),Sogdiana,Other,265.88627099307564,18.11372900692436,18.11372900692436
6,AfTochr,3.0,3.0,1.0,2.0,-129.0,29.0,158.0,-1.477699197529543,-0.2921815741451115,0.1513091251885136,2.1835949183794554,0.4317564776471499,1,Classical (500 BCE-500 CE),Sogdiana,Other,354.5930018702761,-196.5930018702761,196.5930018702761
7,CnEHan*,7.0,7.0,1.0,6.0,25.0,220.0,195.0,1.6390451877943406,-1.895184919206624,-0.1633023419102814,2.686469127631786,-3.106293721806023,0,Classical (500 BCE-500 CE),Middle Yellow River Valley,East Asia,146.75724032537767,48.242759674622334,48.242759674622334
8,CnErJin,9.0,6.0,1.0,6.0,265.0,317.0,52.0,1.9550560731360016,-2.03527304152856,-0.8148473011291663,3.822244249105962,-3.979072920330392,1,Classical (500 BCE-500 CE),Middle Yellow River Valley,East Asia,125.68449425074681,-73.68449425074681,73.68449425074681
9,CnErlig,3.0,3.0,2.0,3.0,-1650.0,-1250.0,400.0,-0.9266223817089658,-0.006563756246632,-0.1625169118498228,0.8586290382839964,0.0060821234462113,0,Ancient (pre-500 BCE),Middle Yellow River Valley,East Asia,317.8452113793003,82.15478862069972,82.15478862069972
10,CnErlit,3.0,3.0,1.0,4.0,-1850.0,-1600.0,250.0,-0.8757238534935303,-0.7138274073180811,-0.3880369121332109,0.7668922675775581,0.6251156878658859,0,Ancient (pre-500 BCE),Middle Yellow River Valley,East Asia,314.45111386428374,-64.45111386428374,64.45111386428374
11,CnHChin,2.0,2.0,1.0,1.0,1895.0,1941.0,46.0,-2.2568852938605137,0.1085692621202666,0.2299619919632121,5.093531229643857,-0.2450283710445171,1,Early Modern (1500+ CE),Southern China Hills,East Asia,406.55194225650075,-360.55194225650075,360.55194225650075
12,CnMing*,5.0,7.0,3.0,7.0,1368.0,1644.0,276.0,1.9107382743144052,-0.8931156721559604,-0.2142648591042776,3.6509207529299914,-1.70651029817843,0,Medieval (500-1500 CE),Middle Yellow River Valley,East Asia,128.639764984995,147.360235015005,147.360235015005
13,CnNSong,7.0,8.0,2.0,7.0,960.0,1127.0,167.0,2.403583991376341,-1.689489673653428,-0.1325999579515472,5.777216003600621,-4.060830333189018,1,Medieval (500-1500 CE),Middle Yellow River Valley,East Asia,95.77503427045983,71.22496572954017,71.22496572954017
14,CnNWei*,6.0,5.0,2.0,5.0,386.0,534.0,148.0,0.8964862475045178,-0.918070776110998,-0.4733309145101274,0.8036875919647315,-0.8230378250193089,1,Classical (500 BCE-500 CE),Middle Yellow River Valley,East Asia,196.2737497875646,-48.27374978756461,48.27374978756461
15,CnQingE,7.0,10.0,3.0,7.0,1644.0,1796.0,152.0,3.0805971107017567,-1.3528940838590309,0.5123038656651199,9.490078558464011,-4.16772160582163,1,Early Modern (1500+ CE),Middle Yellow River Valley,East Asia,50.62935665459622,101.37064334540378,101.37064334540378
16,CnQingL,7.0,8.0,3.0,7.0,1796.0,1912.0,116.0,2.6536731351789116,-1.1930489391684638,-0.1767529763290214,7.0419811083702735,-3.165961918825052,1,Early Modern (1500+ CE),Middle Yellow River Valley,East Asia,79.09818778248015,36.90181221751985,36.90181221751985
17,CnShang,4.0,4.0,3.0,3.0,-1250.0,-1045.0,205.0,-0.1983348135934302,0.299949058559439,-0.0156497783411335,0.0393366982831407,-0.0594903406169112,0,Ancient (pre-500 BCE),Middle Yellow River Valley,East Asia,269.2803685080922,-64.28036850809218,64.28036850809218
18,CnSui**,5.0,6.0,3.0,3.0,581.0,618.0,37.0,0.4933255984809568,0.0300985665352622,0.5198987945421005,0.2433701461165942,0.0148483933494271,1,Medieval (500-1500 CE),Middle Yellow River Valley,East Asia,223.1579565609218,-186.1579565609218,186.1579565609218
19,CnTangE,7.0,8.0,3.0,6.0,617.0,763.0,146.0,2.352685463160905,-0.9822260225819788,0.0929200423318408,5.535128888568641,-2.310868884866976,1,Medieval (500-1500 CE),Middle Yellow River Valley,East Asia,99.1691317854764,46.830868214523605,46.830868214523605
20,CnTangL,7.0,5.0,3.0,3.0,763.0,907.0,144.0,0.8093364838226178,-0.1099895557866736,-0.1316461646767843,0.6550255440463585,-0.0890185603375981,1,Medieval (500-1500 CE),Middle Yellow River Valley,East Asia,202.08521048629092,-58.08521048629092,58.08521048629092
21,CnWHan*,7.0,7.0,3.0,6.0,-202.0,9.0,211.0,2.1392234753994823,-0.9023034502366952,-0.2516083786652298,4.576277077700239,-1.930228722680287,0,Classical (500 BCE-500 CE),Middle Yellow River Valley,East Asia,113.40354734941837,97.59645265058163,97.59645265058163
22,CnWZhou,4.0,5.0,2.0,5.0,-1122.0,-771.0,351.0,0.3670133744014341,-0.6980600814437785,-0.1663143762883131,0.1346988169895272,-0.2561973860256211,0,Ancient (pre-500 BCE),Middle Yellow River Valley,East Asia,231.58091142613748,119.41908857386252,119.41908857386252
23,CnYuan*,8.0,6.0,3.0,7.0,1271.0,1368.0,97.0,2.4914855962076077,-1.1432091418115062,-1.0193180874340697,6.207500476109979,-2.848289110276228,1,Medieval (500-1500 CE),Middle Yellow River Valley,East Asia,89.91343809107772,7.0865619089222776,7.0865619089222776
24,CoTairo,1.0,1.0,1.0,1.0,1050.0,1524.0,474.0,-2.735083718173479,0.2984971817991599,0.0389418400770486,7.480682945417662,-0.8164147818595513,0,Medieval (500-1500 CE),North Colombia,Other,438.4399386397292,35.56006136027082,35.56006136027082
25,EcJivaE,1.0,3.0,2.0,1.0,1534.0,1830.0,296.0,-2.058070598848062,0.6350927715935571,0.6838456636937157,4.235654589842821,-1.3070657607576277,0,Early Modern (1500+ CE),Lowland Andes,New World,393.2942610238655,-97.29426102386549,97.29426102386549
26,EcJivaL,1.0,3.0,1.0,1.0,1831.0,1931.0,100.0,-2.3081597426506333,0.1386520371085928,0.7279986820711899,5.327601397593038,-0.3200310502905557,1,Early Modern (1500+ CE),Lowland Andes,New World,409.9711075118452,-309.9711075118452,309.9711075118452
27,EgAyyub,5.0,7.0,4.0,5.0,1171.0,1250.0,79.0,1.5588520740809633,0.0249708955019733,0.2809281598399726,2.430019788866521,0.0389259322449101,1,Medieval (500-1500 CE),Upper Egypt,Middle East,152.10480650300775,-73.10480650300775,73.10480650300775
28,EgBadar,1.0,1.0,1.0,1.0,-4400.0,-3800.0,600.0,-2.735083718173479,0.2984971817991599,0.0389418400770486,7.480682945417662,-0.8164147818595513,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,438.4399386397292,161.56006136027082,161.56006136027082
29,EgDyn1*,4.0,3.0,3.0,4.0,-3100.0,-2900.0,200.0,-0.1108091293368466,0.1690487143182377,-0.6298512179990665,0.01227866314439,-0.0187321408491172,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,263.443840069038,-63.443840069038,63.443840069038
30,EgDyn2*,4.0,3.0,3.0,4.0,-2900.0,-2687.0,213.0,-0.1108091293368466,0.1690487143182377,-0.6298512179990665,0.01227866314439,-0.0187321408491172,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,263.443840069038,-50.443840069038,50.443840069038
31,EgIntOc,5.0,5.0,2.0,4.0,-404.0,-342.0,62.0,0.3307621389349695,-0.5972425121909034,-0.050149626738358,0.109403592552836,-0.1975452107951578,1,Classical (500 BCE-500 CE),Upper Egypt,Middle East,233.99827460984727,-171.99827460984727,171.99827460984727
32,EgMamBh,7.0,9.0,3.0,6.0,1260.0,1348.0,88.0,2.566147450922327,-1.0621485949272624,0.4374484633289114,6.585112739875159,-2.725629909373326,1,Medieval (500-1500 CE),Upper Egypt,Middle East,84.93471622153444,3.065283778465556,3.065283778465556
33,EgMamBu,7.0,7.0,3.0,6.0,1412.0,1517.0,105.0,2.1392234753994823,-0.9023034502366952,-0.2516083786652298,4.576277077700239,-1.930228722680287,1,Medieval (500-1500 CE),Upper Egypt,Middle East,113.40354734941837,-8.403547349418375,8.403547349418375
34,EgMamCP,7.0,9.0,3.0,6.0,1348.0,1412.0,64.0,2.566147450922327,-1.0621485949272624,0.4374484633289114,6.585112739875159,-2.725629909373326,1,Medieval (500-1500 CE),Upper Egypt,Middle East,84.93471622153444,-20.934716221534444,20.934716221534444
35,EgMidKg,5.0,3.0,4.0,4.0,-2016.0,-1700.0,316.0,0.4040164510172661,0.5554841014695924,-0.8275125054874478,0.163229292692587,0.2244247152722596,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,229.11341276177188,86.88658723822812,86.88658723822812
36,EgNKRam,5.0,7.0,5.0,4.0,-1293.0,-1070.0,223.0,1.5079535458655278,0.7322345465734226,0.5064481601233606,2.2739238964884185,1.1041756809106296,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,155.4989040180243,67.50109598197571,67.50109598197571
37,EgNKThu,5.0,7.0,5.0,5.0,-1550.0,-1293.0,257.0,1.8089412178835345,0.5214116299869377,0.2367751414624984,3.272268329757964,0.9432029889672098,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,135.42796001502808,121.57203998497192,121.57203998497192
38,EgNaqa1,1.0,1.0,1.0,1.0,-3800.0,-3550.0,250.0,-2.735083718173479,0.2984971817991599,0.0389418400770486,7.480682945417662,-0.8164147818595513,0,Ancient (pre-500 BCE),Upper Egypt,Middle East,438.4399386397292,-188.43993863972918,188.43993863972918
