,PC1,PC2,PC3
Settlement hierarchy,0.5198836911591127,-0.2925266871398817,-0.16066527511142897
Administrative levels,0.5201712232097871,-0.221171785120564,-0.6134535564846717
Religious levels,0.438264941777593,0.897660833293363,0.0069787765595133175
Military levels,0.5167849523930564,-0.24436899792857342,0.7731834841015484
