era,n,baseline_r2,warfare_r2,improvement
Ancient (pre-500 BCE),77,0.21206537863235175,0.22425168179076438,0.012186303158412626
Classical (500 BCE-500 CE),44,0.06949996428610283,0.08021731121695153,0.010717346930848692
Medieval (500-1500 CE),92,0.02665011878604917,0.05945093358420617,0.032800814798156996
Early Modern (1500+ CE),43,0.03516037658510107,0.09590398305694847,0.0607436064718474
