Model,R²,Δ
Baseline (C+W),0.14763401139815036,0.0
+ Moral,0.1929781163926486,0.04534410499449826
+ C×M,0.2677153288341123,0.0747372124414637
+ Triple (C×W×M),0.3226380523448552,0.0549227235107429
