Feature,Hazard_Ratio,HR_Lower,HR_Upper,p_value,Coefficient,Significant,Effect
PC1_hier,1.192865726184174,0.981326109979957,1.4500058912464473,0.07661073947611845,0.1763585853850618,False,Destabilizing
PC2_hier,0.9775133653197795,0.8537483217423133,1.119220214019008,0.7419461491373189,-0.022743314254679018,False,Stabilizing
PC3_hier,1.0965356765192709,0.966329388547451,1.2442863728763978,0.1530328176676395,0.09215582507177923,False,Destabilizing
total_warfare_tech,1.0238097190754831,0.8465322950458446,1.2382118756811924,0.8083482214799868,0.023530688135066345,False,Destabilizing
total_rel,1.5813947852256403,1.326429857878841,1.8853687979687188,3.236674460889212e-07,0.45830723308104737,True,Destabilizing
