Model,R²,Adj_R²,N
Baseline,0.13866383507239632,0.13527274780890186,256
Additive,0.14763401139815036,0.14089594034200925,256
Interaction,0.24872194065651587,0.2397781542357601,256
Era × Complexity,0.3324168236967955,0.3135737501721082,256
Full (Era × Complexity × Warfare),0.3573520380924585,0.31718654047323713,256
