era,n,main_r2,interaction_r2,interaction_improvement,interaction_coef,interaction_p
Classical (500 BCE-500 CE),44,0.08214726040705866,0.3764793299736344,0.29433206956657576,64.61045207815935,0.00011374279392276548
Medieval (500-1500 CE),92,0.07323538739678992,0.07435724805669741,0.001121860659907492,2.9357846257710607,0.7461734424549553
