era,low_war_corr,high_war_corr,moderation
Ancient (pre-500 BCE),-0.28358511269058845,-0.42279249890224035,-0.1392073862116519
Classical (500 BCE-500 CE),-0.5052253135487251,0.12895698372778416,0.6341822972765093
Medieval (500-1500 CE),-0.16490244878580995,0.06943092151630982,0.23433337030211976
Early Modern (1500+ CE),0.11734978059974246,-0.0032675051968102118,-0.12061728579655268
